record,timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
0,1621437702,55.599999999999994,54.79999999999999,2849368.699999997,988824.2,1023401.6000000002,415.9,548.4999999999999,0.0,0.0,1411.0,0.0,0.0,0.0,1076.7,0.0,0.0,0.0
1,1621437703,47.7,31.299999999999994,2849368.699999997,988898.6000000002,1023405.1000000002,426.2999999999998,9475.899999999994,0.0,0.0,4.0,0.0,0.0,0.0,1549.2,0.0,0.0,0.0
2,1621437704,42.3,25.39999999999999,2849368.699999997,988881.9,1023413.6000000002,805.6000000000001,2651.9000000000005,0.0,0.0,16.0,0.0,0.0,0.0,2159.9000000000005,0.0,0.0,0.0
3,1621437705,44.3,26.2,2849368.699999997,988862.5,1023418.6000000002,3774.3,5797.600000000001,0.0,0.0,12.0,0.0,0.0,0.0,2000.7,0.0,147.6,0.0
4,1621437707,39.400000000000006,28.799999999999994,2849368.699999997,988865.3999999999,1023489.2000000001,802.8999999999999,935.3,0.0,0.0,0.0,0.0,0.0,0.0,2633.3000000000006,0.0,785.1999999999999,21.8
5,1621437708,57.3,30.199999999999996,2849368.699999997,988899.8999999998,1023492.1,442.29999999999995,430.7,0.0,0.0,0.0,0.0,0.0,0.0,2320.3,0.0,1166.7999999999997,0.0
6,1621437709,96.0,33.29999999999999,2849368.699999997,989009.2999999999,1023497.3999999999,463.00000000000017,431.09999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1601.2,0.0,0.0,0.0
7,1621437710,88.8,26.900000000000002,2849368.699999997,989130.0,1023553.3999999999,1406.5,738.2000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2487.6000000000004,0.0,0.0,0.0
8,1621437711,94.49999999999994,31.599999999999998,2849368.699999997,989313.3999999998,1023557.7999999999,1003.8999999999997,473.6000000000001,0.0,0.0,0.0,0.0,0.0,0.0,906.3999999999999,0.0,44.0,0.0
9,1621437712,88.50000000000001,30.200000000000006,2849368.699999997,989316.3999999999,1023558.2999999999,920.3000000000004,413.09999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1404.4,0.0,394.49999999999994,11.1
10,1621437713,87.60000000000001,31.400000000000006,2849368.699999997,989426.4999999998,1023558.1,469.1000000000001,380.90000000000015,0.0,0.0,0.0,0.0,0.0,0.0,1274.3999999999999,0.0,570.8,0.0
11,1621437714,83.10000000000005,30.100000000000005,2849368.699999997,989453.2000000001,1023558.2999999998,968.5999999999999,432.40000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1134.1000000000001,0.0,20.0,0.0
