timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
1621194246,0.7,1.0,64082.4,21068.5,35848.1,3.9,12.0,0.0,0.0,186.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621194247,1.1,0.8,64082.4,21068.2,35848.3,11.2,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621194248,0.4,0.3,64082.4,21075.3,35848.3,10.1,43.2,0.0,0.0,0.0,0.0,0.0,0.0,1002.3,0.0,0.0,0.0
1621194249,1.6,1.2,64082.4,21067.7,35848.5,19.6,42.3,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.0
1621194250,0.5,0.2,64082.4,21067.7,35848.6,28.1,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621194251,0.4,0.2,64082.4,21067.8,35848.6,6.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,0.0
1621194252,0.1,0.2,64082.4,21069.7,35848.6,2.4,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621194253,0.2,0.2,64082.4,21067.6,35848.6,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621194254,0.3,0.4,64082.4,21067.9,35848.6,3.6,4.9,0.0,0.0,0.0,0.0,0.0,0.0,115.8,0.0,0.0,0.0
1621194255,0.1,0.1,64082.4,21067.6,35848.6,10.2,15.3,0.0,0.0,0.0,0.0,0.0,0.0,31.9,0.0,0.0,0.0
1621194256,0.2,0.2,64082.4,21067.7,35848.6,3.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0
1621194257,1.1,0.8,64082.4,21067.7,35848.6,11.9,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621194258,0.9,0.4,64082.4,21078.4,35848.6,9.4,23.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1621194259,1.2,0.7,64082.4,21067.7,35848.6,7.4,4.9,0.0,0.0,0.0,0.0,0.0,0.0,602.9,0.0,0.0,0.0
1621194260,0.5,0.2,64082.4,21067.7,35848.6,28.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621194261,0.5,0.2,64082.4,21067.7,35848.6,5.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0
1621194262,0.1,0.1,64082.4,21067.7,35848.6,2.9,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621194263,0.1,0.1,64082.4,21067.7,35848.6,5.6,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621194264,0.4,0.4,64082.4,21067.7,35848.6,2.9,5.9,0.0,0.0,0.0,0.0,0.0,0.0,67.9,0.0,0.0,0.0
1621194265,0.1,0.1,64082.4,21067.7,35848.6,10.3,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621194266,0.3,0.2,64082.4,21067.7,35848.6,5.3,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0
1621194267,1.1,0.8,64082.4,21067.9,35848.6,11.3,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621194268,0.8,0.7,64082.4,21079.3,35848.7,13.9,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1621194269,1.1,0.6,64082.4,21068.7,35848.7,8.2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,147.7,0.0,0.0,0.0
