record,timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
0,1621194246,44.79999999999999,42.89999999999999,2849368.699999997,867154.1000000003,997704.6,519.6999999999999,1388.8000000000002,0.0,0.0,2710.0,0.0,0.0,0.0,4477.000000000001,0.0,0.0,0.0
1,1621194247,46.50000000000001,34.40000000000001,2849368.699999997,867142.3000000002,997705.5000000001,439.6000000000001,753.0999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2120.0000000000005,0.0,0.0,0.0
2,1621194248,35.3,29.099999999999994,2849368.699999997,867166.8,997705.8000000002,921.2000000000004,1497.0,0.0,0.0,0.0,0.0,0.0,0.0,6731.999999999999,0.0,0.0,0.0
3,1621194249,33.599999999999994,25.500000000000004,2849368.699999997,867110.6000000001,997706.0000000002,838.6999999999999,1108.2999999999997,0.0,0.0,0.0,0.0,0.0,0.0,4671.400000000001,0.0,427.29999999999995,27.9
4,1621194250,33.10000000000001,27.1,2849368.699999997,867172.5,997706.8000000002,499.5000000000001,1378.4999999999998,0.0,0.0,0.0,0.0,0.0,0.0,2827.500000000001,0.0,1430.0,73.8
5,1621194251,41.20000000000001,31.799999999999997,2849368.699999997,867159.5000000002,997707.3000000002,748.5999999999999,788.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,657.4999999999999,0.0,783.5999999999999,0.0
6,1621194252,41.7,31.399999999999995,2849368.699999997,867156.1000000002,997707.5000000001,1086.8000000000002,856.9000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1273.8999999999999,0.0,0.0,0.0
7,1621194253,43.099999999999994,29.599999999999998,2849368.699999997,867182.8,997707.8,3273.6,3713.4999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1133.7999999999997,0.0,0.0,0.0
8,1621194254,35.79999999999999,26.699999999999992,2849368.699999997,867213.2000000002,997708.7,466.3,466.0,0.0,0.0,0.0,0.0,0.0,0.0,2966.600000000001,0.0,39.9,0.0
9,1621194255,36.59999999999999,28.400000000000002,2849368.699999997,867235.8,997709.6999999998,534.4,629.9,0.0,0.0,0.0,0.0,0.0,0.0,1165.9,0.0,790.8999999999999,62.8
10,1621194256,38.99999999999998,29.299999999999997,2849368.699999997,867246.9000000003,997710.2,787.6999999999998,669.9000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1897.3999999999996,0.0,377.09999999999997,0.0
