timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
1621532991,2.0,2.7,31828.8,12320.8,5501.1,10.7,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621532992,4.2,2.7,31828.8,12320.8,5501.1,66.7,13.4,0.0,0.0,0.0,0.0,0.0,0.0,239.5,0.0,0.0,0.0
1621532993,0.8,1.2,31828.8,12320.7,5501.1,12.7,8.1,0.0,0.0,0.0,0.0,0.0,0.0,83.8,0.0,0.0,0.0
1621532994,1.4,1.7,31828.8,12320.7,5501.1,69.1,16.2,0.0,0.0,0.0,0.0,0.0,0.0,135.7,0.0,0.0,0.0
1621532995,3.1,2.7,31828.8,12320.9,5501.1,21.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,175.6,0.0,0.0,0.0
1621532997,2.4,2.0,31828.8,12320.7,5501.1,60.6,27.0,0.0,0.0,0.0,0.0,0.0,0.0,226.5,0.0,25.2,0.0
1621532998,2.6,2.3,31828.8,12320.7,5501.1,61.7,35.2,0.0,0.0,0.0,0.0,0.0,0.0,235.5,0.0,0.0,0.0
1621532999,3.2,2.8,31828.8,12320.7,5501.1,39.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,215.5,0.0,0.0,0.0
1621533000,14.5,3.5,31828.8,12371.8,5501.2,391.0,41.2,0.0,0.0,0.0,0.0,0.0,0.0,127.7,0.0,0.0,0.0
1621533001,34.4,3.7,31828.8,12510.9,5501.3,71.6,21.2,0.0,0.0,0.0,0.0,0.0,0.0,215.5,0.0,0.0,0.0
1621533002,51.3,2.9,31828.8,12605.1,5501.3,30.5,6.8,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,11.2,0.0
1621533003,46.9,3.3,31828.8,12725.7,5501.3,41.8,11.4,0.0,0.0,0.0,0.0,0.0,0.0,115.7,0.0,0.0,0.0
1621533004,53.7,2.3,31828.8,12758.4,5501.3,18.3,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621533005,42.3,2.6,31828.8,12900.5,5501.3,63.1,16.8,0.0,0.0,0.0,0.0,0.0,0.0,451.2,0.0,0.0,0.0
1621533006,46.3,3.9,31828.8,12953.2,5501.3,24.4,17.5,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,0.0
1621533007,36.2,2.2,31828.8,12961.4,5501.3,74.1,27.3,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,11.3,0.0
1621533008,31.8,4.6,31828.8,13119.0,5501.3,29.8,34.1,0.0,0.0,0.0,0.0,0.0,0.0,3866.1,0.0,0.0,0.0
1621533009,25.8,4.6,31828.8,13369.2,5549.1,1973.3,50.4,0.0,0.0,0.0,0.0,0.0,0.0,339.3,0.0,0.0,0.0
1621533010,18.3,3.0,31828.8,13404.5,5648.9,1420.5,50.9,0.0,0.0,0.0,0.0,0.0,0.0,15753.4,0.0,0.0,0.0
1621533011,20.0,2.2,31828.8,13426.9,5646.9,71.1,19.3,0.0,0.0,0.0,0.0,0.0,0.0,7025.3,0.0,0.0,0.0
