VM,Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab_reclaimable,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
VM,T0001,0,0,100922,20564,2854950,167630,0,0,0,0,30595,0,0,18390,0,0,0,0,0,0,0,0,0,17486,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0002,0,0,100922,20664,2854955,167631,0,240,0,0,17037,0,0,8288,0,0,0,0,0,0,0,0,0,17062,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0003,0,0,100922,20564,2854954,167631,0,84,0,0,119,0,0,2,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0004,0,0,100922,20564,2854956,167631,0,136,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0005,0,0,100922,20564,2854956,167631,0,204,0,0,18027,0,0,9277,0,0,0,0,0,0,0,0,0,18044,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0006,4,0,100922,20564,2854961,167631,0,304,0,0,4051,0,0,665,0,0,0,0,0,0,0,0,0,4040,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0007,4,0,100922,20564,2854964,167631,0,240,0,0,6787,0,0,3365,0,0,0,0,0,0,0,0,0,6795,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0008,1,0,100922,20564,2854965,167631,0,200,0,0,14717,0,0,7791,0,0,0,0,0,0,0,0,0,14695,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0009,0,0,100922,20686,2854974,167631,0,128,0,0,21041,16,0,25979,0,0,0,0,0,0,0,0,0,34388,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0010,0,0,100922,20787,2855004,167633,0,224,0,0,22871,1,0,18146,0,0,0,0,0,0,0,0,0,58714,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0011,0,0,100922,20845,2855006,167634,0,24,0,0,22208,0,0,26707,0,0,0,0,0,0,0,0,0,46370,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0012,0,0,100922,20921,2855014,167635,0,112,0,0,32475,4,0,18854,0,0,0,0,0,0,0,0,0,63436,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0013,1,0,100922,20976,2855015,167637,0,20,0,0,953,0,0,6462,0,0,0,0,0,0,0,0,0,9696,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0014,0,0,100922,21052,2855017,167637,0,432,0,0,4063,0,0,12489,0,0,0,0,0,0,0,0,0,40071,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0015,0,0,100922,21089,2855020,167655,0,436,0,0,63611,3,0,15688,0,0,0,0,0,0,0,0,0,77443,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0016,1,0,100922,21104,2855025,167635,0,292,0,0,7178,0,0,1339,0,0,0,0,0,0,0,0,0,9296,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0017,0,0,100922,21183,2855027,167635,0,3856,0,0,24489,6,0,16018,0,0,0,0,0,0,0,0,0,64887,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0018,5,0,100922,21311,2867271,167782,0,340,0,0,7344,19,0,4640,0,0,0,0,0,0,0,0,0,83914,0,0,0,0,0,0,0,0,0,0,0,0,0
