VM,Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab_reclaimable,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
VM,T0001,0,0,100922,20518,2865624,168410,0,340,0,0,40186,0,0,25474,0,0,0,0,0,0,0,0,0,27079,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0002,0,0,100922,20540,2865624,168411,0,0,0,0,2114,0,0,1134,0,0,0,0,0,0,0,0,0,2119,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0003,0,0,100922,20540,2865624,168411,0,80,0,0,68,0,0,4,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0004,0,0,100922,20540,2865626,168411,0,24,0,0,71,0,0,8,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0005,18,0,100922,20543,2865626,168411,0,216,0,0,10286,1,0,4713,0,0,0,0,0,0,0,0,0,13040,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0006,0,0,100922,20540,2865630,168411,0,112,0,0,8896,0,0,4503,0,0,0,0,0,0,0,0,0,6148,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0007,0,0,100922,20509,2865631,168411,0,252,0,0,11973,0,0,7194,0,0,0,0,0,0,0,0,0,15472,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0008,0,0,100922,20565,2865635,168411,8,232,0,0,20105,2,0,11039,0,0,0,0,0,0,0,0,0,20302,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0009,12,0,100922,20680,2865664,168411,0,324,0,0,25736,45,0,19028,0,0,0,0,0,0,0,0,0,22311,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0010,0,0,100922,20710,2865707,168411,0,564,0,0,4818,0,0,16854,0,0,0,0,0,0,0,0,0,37181,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0011,0,0,100922,20778,2865738,168412,0,328,0,0,45932,3,0,23663,0,0,0,0,0,0,0,0,0,67424,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0012,0,0,100922,20851,2865739,168413,0,0,0,0,6725,0,0,20101,0,0,0,0,0,0,0,0,0,35580,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0013,0,0,100922,20920,2865745,168418,0,96,0,0,43257,1,0,7900,0,0,0,0,0,0,0,0,0,67901,0,0,0,0,0,0,0,0,0,0,0,0,0
