timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
1621542252,27.8,5.2,31828.8,12501.9,5519.3,56.6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,114.5,0.0,0.0,0.0
1621542253,49.1,3.6,31828.8,12595.7,5519.4,67.6,24.7,0.0,0.0,0.0,0.0,0.0,0.0,455.2,0.0,0.0,0.0
1621542254,49.2,2.1,31828.8,12693.8,5519.4,21.4,15.7,0.0,0.0,0.0,0.0,0.0,0.0,119.7,0.0,0.0,0.0
1621542255,50.2,4.4,31828.8,12752.3,5519.4,434.3,37.7,0.0,0.0,0.0,0.0,0.0,0.0,263.5,0.0,0.0,0.0
1621542256,45.7,3.7,31828.8,12763.1,5519.5,497.8,37.0,0.0,0.0,0.0,0.0,0.0,0.0,418.9,0.0,31.9,0.0
1621542257,46.1,3.7,31828.8,12959.3,5519.5,71.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,282.8,0.0,90.3,0.0
1621542258,44.0,3.8,31828.8,12990.4,5519.5,21.5,23.6,0.0,0.0,0.0,0.0,0.0,0.0,175.6,0.0,0.0,0.0
1621542259,34.5,2.0,31828.8,13002.6,5519.5,796.2,46.9,0.0,0.0,0.0,0.0,0.0,0.0,3704.6,0.0,0.0,0.0
1621542261,24.9,5.1,31828.8,13406.4,5519.5,9.2,7.6,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
1621542262,10.2,4.1,31828.8,12386.5,5519.4,65.5,25.8,0.0,0.0,0.0,0.0,0.0,0.0,191.6,0.0,0.0,0.0
1621542263,29.6,4.2,31828.8,12491.4,5519.4,16.6,7.9,0.0,0.0,0.0,0.0,0.0,0.0,97.7,0.0,22.6,0.0
1621542264,49.1,4.5,31828.8,12568.9,5519.5,67.9,26.5,0.0,0.0,0.0,0.0,0.0,0.0,533.9,0.0,0.0,0.0
1621542265,49.9,2.2,31828.8,12694.9,5519.5,22.2,15.9,0.0,0.0,0.0,0.0,0.0,0.0,443.0,0.0,0.0,0.0
1621542266,46.6,3.7,31828.8,12748.8,5519.5,78.9,26.3,0.0,0.0,0.0,0.0,0.0,0.0,259.6,0.0,0.0,0.0
1621542267,46.8,3.5,31828.8,12780.4,5519.5,20.9,19.0,0.0,0.0,0.0,0.0,0.0,0.0,355.3,0.0,0.0,0.0
1621542268,41.1,3.8,31828.8,12953.3,5519.5,72.3,29.2,0.0,0.0,0.0,0.0,0.0,0.0,367.0,0.0,18.3,0.0
1621542269,43.7,3.6,31828.8,12990.5,5519.5,731.8,36.3,0.0,0.0,0.0,0.0,0.0,0.0,259.5,0.0,0.0,0.0
1621542270,38.5,2.1,31828.8,13069.3,5519.5,81.8,19.5,0.0,0.0,0.0,0.0,0.0,0.0,3685.5,0.0,0.0,0.0
1621542271,26.0,5.0,31828.8,13415.9,5519.5,915.9,416.8,0.0,0.0,0.0,0.0,0.0,0.0,43.9,0.0,0.0,0.0
1621542272,8.2,4.0,31828.8,12368.5,5519.4,67.5,23.6,0.0,0.0,0.0,0.0,0.0,0.0,271.4,0.0,0.0,0.0
1621542273,26.2,3.5,31828.8,12506.5,5519.4,10.6,6.9,0.0,0.0,0.0,0.0,0.0,0.0,29.3,0.0,11.0,0.0
1621542274,49.2,3.8,31828.8,12559.8,5519.5,70.1,26.9,0.0,0.0,0.0,0.0,0.0,0.0,494.8,0.0,0.0,0.0
1621542275,51.7,3.2,31828.8,12683.3,5519.5,30.2,22.1,0.0,0.0,0.0,0.0,0.0,0.0,203.6,0.0,0.0,0.0
1621542276,53.0,4.0,31828.8,12728.8,5519.6,75.3,25.1,0.0,0.0,0.0,0.0,0.0,0.0,219.6,0.0,0.0,0.0
