timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
1620721503,2.6,3.5,64083.2,19066.6,40362.4,6.0,8.9,0.0,0.0,663.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721504,0.5,0.3,64083.2,19066.5,40362.4,5.3,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721505,1.0,0.7,64083.2,19066.7,40362.6,53.2,40.9,0.0,0.0,0.0,0.0,0.0,0.0,75.9,0.0,0.0,0.0
1620721506,0.2,0.2,64083.2,19066.7,40362.6,3.9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721507,1.5,0.8,64083.2,19066.7,40362.6,4.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,175.7,0.0,0.0,0.0
1620721508,0.8,0.4,64083.2,19066.7,40362.6,3.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,27.8,0.0
1620721509,0.2,0.2,64083.2,19066.7,40362.6,5.1,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721510,0.6,0.8,64083.2,19066.7,40362.6,51.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,47.9,0.0,0.0,0.0
1620721511,0.1,0.0,64083.2,19066.7,40362.6,7.7,17.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1620721512,1.5,1.1,64083.2,19066.4,40362.6,3.9,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721513,0.4,0.5,64083.2,19066.7,40362.6,5.6,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0
1620721514,1.1,0.7,64083.2,19091.8,40362.6,18.6,69.4,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
1620721515,1.7,1.5,64083.2,19066.8,40362.6,46.7,37.2,0.0,0.0,4.0,0.0,12.0,0.0,87.8,0.0,0.0,0.0
1620721516,0.2,0.2,64083.2,19066.8,40362.6,4.3,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721517,1.3,1.0,64083.2,19066.8,40362.6,4.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721518,0.7,0.4,64083.2,19066.8,40362.6,3.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0
