timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
1620924299,1.3,1.6,31828.8,11933.5,14944.1,5.5,8.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0
1620924300,3.6,2.4,31828.8,11944.8,14944.1,7.5,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620924301,0.8,0.6,31828.8,11932.3,14944.1,5.6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620924302,0.3,0.3,31828.8,11932.3,14944.1,51.8,13.9,0.0,0.0,0.0,0.0,0.0,0.0,51.9,0.0,0.0,0.0
1620924303,1.2,0.8,31828.8,11932.3,14944.1,34.1,66.7,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1620924304,0.6,0.5,31828.8,11932.6,14944.3,21.6,43.4,0.0,0.0,0.0,0.0,0.0,0.0,409.5,0.0,87.5,0.0
1620924305,0.3,0.5,31828.8,11932.6,14944.3,6.3,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620924306,0.4,0.4,31828.8,11932.8,14944.3,7.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620924307,0.5,0.4,31828.8,11932.6,14944.3,13.8,32.7,0.0,0.0,0.0,0.0,0.0,0.0,95.8,0.0,0.0,0.0
1620924308,0.4,0.3,31828.8,11932.6,14944.3,12.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,383.3,0.0,0.0,0.0
1620924310,0.4,0.2,31828.8,11932.6,14944.3,6.2,9.9,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,63.2,0.0
1620924311,3.7,2.7,31828.8,11932.6,14944.3,6.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620924312,0.7,0.6,31828.8,11932.7,14944.3,49.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620924313,0.4,0.2,31828.8,11932.6,14944.3,8.2,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620924314,0.8,0.6,31828.8,11932.6,14944.4,23.6,24.7,0.0,0.0,0.0,0.0,0.0,0.0,175.7,0.0,0.0,0.0
1620924315,0.2,0.3,31828.8,11932.6,14944.4,10.2,16.3,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,18.2,0.0
1620924316,0.5,0.4,31828.8,11932.6,14944.4,6.3,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620924317,1.1,0.4,31828.8,11932.6,14944.4,10.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0
1620924318,1.0,0.7,31828.8,11932.6,14944.4,16.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620924319,0.3,0.3,31828.8,11932.6,14944.4,7.1,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
1620924320,0.3,0.3,31828.8,11932.6,14944.4,6.7,14.8,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.0,11.0,0.0
1620924321,3.0,2.6,31828.8,11932.6,14944.4,6.8,13.3,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0
1620924322,0.7,0.3,31828.8,11932.9,14944.4,48.4,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620924323,0.6,0.5,31828.8,11933.7,14944.4,8.7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
1620924324,0.9,0.7,31828.8,11933.8,14944.5,24.6,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620924325,0.2,0.2,31828.8,11933.8,14944.5,12.7,16.8,0.0,0.0,0.0,0.0,0.0,0.0,97.4,0.0,11.2,0.0
1620924326,0.5,0.5,31828.8,11933.8,14944.5,3.9,14.8,0.0,0.0,0.0,0.0,0.0,0.0,47.9,0.0,0.0,0.0
1620924327,1.0,0.5,31828.8,11933.9,14944.5,11.1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0
