record,timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
0,1620924300,50.89999999999999,51.2,2849368.699999997,962281.6,1158539.8,551.0999999999999,560.7999999999997,0.0,0.0,11785.199999999999,0.0,0.0,0.0,1849.0999999999995,0.0,0.0,0.0
1,1620924301,41.60000000000001,29.89999999999999,2849368.699999997,962298.9000000001,1158528.9000000001,455.2999999999999,493.7,0.0,0.0,0.0,0.0,0.0,0.0,2191.8,0.0,0.0,0.0
2,1620924302,39.4,31.500000000000007,2849368.699999997,962273.7000000001,1158529.1000000003,1026.9,1234.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2220.3000000000006,0.0,0.0,0.0
3,1620924303,45.500000000000014,35.0,2849368.699999997,962257.6000000002,1158530.0,1444.2999999999997,1849.1000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2248.3,0.0,111.6,31.9
4,1620924304,43.30000000000001,33.3,2849368.699999997,962233.6000000001,1158532.9,844.0,1424.5000000000002,0.0,0.0,4.0,0.0,4.0,0.0,2260.9000000000005,0.0,1276.8999999999999,74.6
5,1620924305,53.10000000000001,33.699999999999996,2849368.699999997,962297.2999999998,1158534.8,648.3,947.8000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1656.7000000000003,0.0,779.8999999999999,0.0
6,1620924306,72.10000000000001,34.199999999999996,2849368.699999997,962403.5999999999,1158536.5,752.9000000000001,946.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2954.7000000000003,0.0,0.0,0.0
7,1620924307,91.20000000000003,30.199999999999996,2849368.699999997,962510.2999999999,1158537.2,804.3000000000002,915.7000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2263.4000000000005,0.0,0.0,0.0
8,1620924308,86.40000000000002,33.80000000000001,2849368.699999997,962618.7000000001,1158537.7999999998,828.5000000000003,796.5,0.0,0.0,0.0,0.0,0.0,0.0,3249.9000000000005,0.0,20.0,0.0
9,1620924309,76.89999999999999,25.299999999999997,2849368.699999997,962644.5,1158538.7999999998,488.7,603.2,0.0,0.0,0.0,0.0,0.0,0.0,2480.7999999999997,0.0,572.4000000000002,55.9
10,1620924310,82.1,31.899999999999995,2849368.699999997,962787.5000000001,1158539.7999999998,635.6000000000001,688.3,0.0,0.0,0.0,0.0,0.0,0.0,1498.6000000000004,0.0,385.2,0.0
11,1620924311,80.5,32.3,2849368.699999997,962893.5,1158540.1,673.0000000000001,700.0000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2064.100000000001,0.0,40.0,0.0
12,1620924312,70.70000000000002,30.4,2849368.699999997,963095.7000000002,1158540.9,836.8000000000002,1181.6,0.0,0.0,0.0,0.0,0.0,0.0,1780.6999999999998,0.0,0.0,0.0
13,1620924313,68.5,31.500000000000004,2849368.699999997,963591.1000000001,1158541.3,331.50000000000006,339.7,0.0,0.0,0.0,0.0,0.0,0.0,4840.1,0.0,119.8,0.0
14,1620924314,58.50000000000001,26.399999999999995,2849368.699999997,963568.9000000003,1158542.1,516.2000000000002,485.4,0.0,0.0,0.0,0.0,0.0,0.0,2588.2000000000007,0.0,362.89999999999986,18.5
15,1620924315,60.39999999999998,28.999999999999993,2849368.699999997,963571.8000000002,1158542.5999999999,475.0,509.50000000000006,0.0,0.0,0.0,0.0,0.0,0.0,1500.8000000000004,0.0,325.90000000000003,12.0
