gis_join,cluster_id,number_records,time_ms,rmse,iterations,best_reg_param,best_tolerance,best_epsilon
G5400770,48,4680,817397,6.846607,2,0.000000,0.001000,1.350000
G1300890,15,1800,818666,7.254642,2,0.300000,0.001000,1.350000
G1200090,6,6120,818796,7.634914,2,0.000000,0.001000,1.350000
G3700210,9,4320,819033,7.059683,2,0.100000,0.001000,1.350000
G3100370,51,2520,818938,8.378074,2,0.100000,0.001000,1.350000
G2902050,13,3240,818942,7.553636,2,0.000000,0.001000,1.350000
G3100010,52,3240,818721,7.390358,2,0.000000,0.001000,1.350000
G5100210,25,2520,819046,7.116260,2,0.100000,0.001000,1.350000
G1000030,21,2520,818693,7.204855,2,0.100000,0.001000,1.350000
G0500090,22,3240,818987,7.500362,2,0.000000,0.001000,1.350000
G1900530,12,3240,818965,8.818004,2,0.000000,0.001000,1.350000
G1300950,1,2520,821158,7.511312,2,0.000000,0.001000,1.350000
G0600010,14,5400,821041,4.922073,2,0.000000,0.001000,1.350000
G4800490,10,6840,821181,6.824371,2,0.000000,0.001000,1.350000
G0500330,44,2520,821168,7.358671,2,0.000000,0.001000,1.350000
G4700170,27,3960,821213,7.897355,2,0.100000,0.001000,1.350000
G2001090,7,6480,821192,6.487613,3,0.000000,0.001000,1.350000
G4200590,41,3960,821363,6.962074,2,0.100000,0.001000,1.350000
G4800790,3,5760,821326,5.971569,3,0.000000,0.001000,1.350000
G0800550,36,11160,821336,6.686847,2,0.000000,0.001000,1.350000
G2000010,35,3240,821330,7.548380,2,0.000000,0.001000,1.350000
G3600770,17,7560,821265,6.110231,2,0.100000,0.001000,1.350000
G5500470,30,2880,821379,7.117111,2,0.000000,0.001000,1.350000
G3701310,5,3240,820962,7.716109,2,0.000000,0.001000,1.350000
G0100010,46,3600,820969,7.592727,2,0.300000,0.001000,1.350000
G2102350,40,3240,821317,6.955811,2,0.000000,0.001000,1.350000
G1800570,0,2160,821370,6.614908,2,0.000000,0.001000,1.350000
G3601050,49,6840,821388,5.917778,2,0.000000,0.001000,1.350000
G3900350,53,3240,821517,6.203256,2,0.100000,0.001000,1.350000
G2901570,34,3960,821373,7.698683,2,0.000000,0.001000,1.350000
G4600870,32,3240,821355,9.063835,2,0.100000,0.001000,1.350000
G2600730,45,3600,821390,5.098245,2,0.000000,0.001000,1.350000
G4100070,19,6120,821569,4.132537,2,0.000000,0.001000,1.350000
G4804490,38,1800,821242,6.834001,2,0.000000,0.001000,1.350000
G0800190,28,2520,822559,7.527420,2,0.300000,0.001000,1.350000
G2001650,55,4320,822955,6.557452,3,0.000000,0.001000,1.350000
G4000090,50,6840,823139,6.057648,3,0.000000,0.001000,1.350000
G3800450,29,6480,823114,8.257314,2,0.000000,0.001000,1.350000
G3600710,4,5400,823396,6.476093,2,0.000000,0.001000,1.350000
G2701450,26,10800,823535,9.458688,2,0.000000,0.001000,1.350000
G1200230,18,5760,823124,8.294567,2,0.100000,0.001000,1.350000
G4802010,11,11520,823545,7.188516,2,0.100000,0.001000,1.350000
G4803410,16,6120,823495,6.096193,3,0.000000,0.001000,1.350000
G2102090,20,2160,821686,7.375642,2,0.300000,0.001000,1.350000
G4801730,42,5760,823554,6.988543,3,0.000000,0.001000,1.350000
G4100650,8,16920,824327,3.707888,3,0.000000,0.001000,1.350000
G3500230,37,23040,824085,6.312463,3,0.000000,0.001000,1.350000
G4900010,2,17280,824595,4.761166,2,0.000000,0.001000,1.350000
G3500590,23,24480,824624,6.028473,3,0.000000,0.001000,1.350000
G3000710,31,38520,824302,8.338431,2,0.000000,0.001000,1.350000
G4100230,33,31320,824532,3.761138,3,0.000000,0.001000,1.350000
G5600050,47,34920,824764,6.393211,3,0.000000,0.001000,1.350000
G3100310,39,41760,825171,6.266416,3,0.000000,0.001000,1.350000
G0601070,24,32040,821677,9.214767,2,0.000000,0.001000,1.350000
G0800450,43,20160,828336,7.330587,2,0.500000,0.001000,1.350000
G1600130,54,18720,829872,5.965372,2,0.000000,0.100000,1.350000
