gis_join,cluster_id,time_ms,iterations,rmse
G5300710,40,3970,3,4.312002
G0600390,24,4035,2,8.396414
G4001390,16,4863,3,6.495428
G3100850,7,6914,3,6.442775
G3100530,51,7100,2,8.519079
G5300350,19,7197,2,3.981580
G5400870,20,7368,2,7.146000
G0500870,22,7836,2,7.567140
G4201270,41,8124,2,6.490643
G3400370,4,9086,2,6.327891
G0600210,14,9232,2,5.571436
G1200770,18,9211,2,8.570526
G4801650,3,9312,3,6.662134
G0101170,15,9101,2,7.940243
G1600810,54,9454,1,6.045577
G2001510,55,10023,3,6.368652
G5400830,48,10999,2,7.217585
G5300470,25,10900,2,4.637418
G3100830,52,10673,2,6.662153
G4802970,6,11335,2,7.473026
G2901610,35,11583,2,8.125033
G2101230,34,11620,2,7.546067
G5501390,30,11800,2,6.935525
G0800030,36,11808,2,8.015129
G3701930,50,12168,2,7.808437
G5500670,49,12288,2,7.796800
G2800110,38,12048,2,7.103158
G3600110,53,12319,2,5.938922
G0600830,10,12698,2,6.660398
G2601530,45,12662,2,5.783217
G2200890,11,12649,2,7.138400
G0800150,28,12925,3,9.130419
G2200110,1,13723,2,8.027405
G4701550,9,10229,2,7.457751
G3800690,29,14685,2,6.829330
G4601370,31,14914,2,7.525183
G4000190,44,14846,2,7.136495
G4804750,42,15360,3,7.333171
G1701170,13,15023,2,7.401936
G3901750,0,15275,2,6.460050
G1900630,26,15536,2,8.368725
G0600170,24,10466,2,6.775328
G4900430,43,15708,2,7.614818
G4803810,16,10123,3,5.972506
G4700570,40,10561,2,7.404613
G3000110,39,15257,2,7.184949
G2000130,12,10458,2,8.260584
G2300210,17,15917,2,6.644403
G1600350,33,15963,3,4.971256
G3500130,37,15934,3,6.734027
G4001430,27,16098,2,7.019516
G4100550,8,16294,3,3.866294
G2200310,46,16043,2,7.701803
G0400170,23,16364,3,5.346990
G3200330,2,16160,2,4.025849
G2400250,21,10179,2,7.520593
G3701170,5,10066,2,7.797660
G3100570,7,9800,3,5.938596
G5500510,51,9757,2,7.785048
G5300290,19,9867,2,0.940047
G5401070,20,9903,2,7.426304
G4600810,47,18573,3,7.917147
G5400510,41,10237,2,7.722935
G0501290,22,10378,2,7.881182
G4200110,4,10578,2,7.197025
G0600530,14,10300,2,5.875283
G1200830,18,10254,2,8.468251
G3101070,32,14888,2,8.592409
G2000090,55,9612,3,6.833510
G3100810,52,9420,2,7.787698
G5400250,25,9655,2,7.668132
G0201100,48,9684,2,4.161789
G1200270,6,9668,2,7.888876
G2900150,35,9746,2,8.067290
G2901860,34,9850,2,8.146915
G0500690,38,9693,2,7.536295
G1900370,30,9837,2,7.973244
G0800270,36,9800,2,7.690455
G4200270,49,9952,2,6.441609
G4803990,10,9716,2,7.315332
G4000570,50,9959,3,5.928933
G2600070,45,9745,2,4.980460
G3600890,53,10068,2,6.281676
G2200990,11,9856,2,6.988980
G0800470,28,9896,2,6.663909
G4803050,3,13837,3,6.374045
G1302470,15,13838,2,6.994294
G3100090,9,10243,2,6.363713
G1600850,54,13815,2,5.251390
G2101190,40,10771,2,6.814010
G0800090,16,10774,3,6.160876
G1901290,12,10761,2,8.221594
G0600190,24,11353,2,9.313330
G4200450,21,11000,2,7.129746
G5101170,5,10986,2,8.071883
G2001710,7,10660,3,6.308403
G4100510,19,10695,2,4.270860
G3101670,51,10954,2,8.619837
G2101850,20,10676,2,7.284538
G2201270,1,15076,2,7.969683
G2001130,22,10846,2,7.476806
G4200730,41,11097,2,6.920368
G3800790,29,15195,2,7.641778
G3800010,31,15121,2,7.096434
G3600870,4,11273,2,6.222466
G1800470,0,14954,2,7.112500
G1701690,13,15008,2,7.030745
G3701970,44,15079,2,7.309245
G0600970,14,11407,2,5.617922
G3101110,39,14775,2,6.440260
G2700150,26,15149,2,9.712063
G0400190,42,15273,3,6.702701
G4802830,18,11458,2,7.524294
G2800030,27,15249,2,7.560298
G2601030,17,15189,2,6.662764
G0600350,33,15370,3,3.718712
G5300630,8,15264,3,4.398841
G3500050,37,15390,3,6.043519
G1302930,46,15288,2,7.906769
G0800710,23,15301,2,6.621259
G3100790,52,10815,2,7.026328
G3700390,55,10920,2,7.500891
G4900170,2,15178,2,6.793661
G5300190,25,10877,2,4.369036
G0201300,48,11126,2,4.108356
G1200690,6,10793,2,8.159383
G2901450,35,10689,2,7.668695
G1701630,34,10763,2,7.575975
G0500790,38,10579,2,7.365442
G0800350,36,10548,2,6.311970
G2700550,30,10634,2,8.361455
G4900390,43,17186,2,6.729850
G3700270,50,10475,2,7.733748
G2601430,49,10440,2,5.877112
G0600790,10,10419,2,6.201951
G5000070,45,10211,2,6.423267
G3900770,53,10229,2,6.317091
G2200550,11,10192,2,7.564712
G3101570,47,14379,2,6.242081
G0801190,28,10086,2,8.197355
G1600010,9,9308,3,3.623265
G4800110,16,9512,3,6.174811
G2100530,40,9685,2,7.362642
G4600570,32,16630,3,9.722311
G1901730,12,9626,2,9.354430
G0600430,24,9655,2,7.856793
G5100010,21,9546,2,4.773019
G5107400,5,9533,2,6.926693
G3101350,7,9630,3,6.428072
G3700370,15,14002,2,8.591859
G5300550,19,9444,2,3.101912
G2100770,20,9382,2,7.739956
G0400250,3,14412,3,5.775313
G3000390,54,13685,2,6.102218
G4001030,22,10183,3,6.970150
G2601130,41,10174,2,5.129438
G0900150,4,11126,2,6.566666
G4601170,51,12147,3,8.111838
G0600750,14,11096,3,2.431886
G4803230,18,11485,2,7.659895
G3101290,52,11766,2,7.185247
G2001350,55,11796,3,6.352728
G5300370,25,11664,3,3.649382
G5400930,48,11795,2,6.833675
G4800610,6,11656,2,6.389297
G2000170,35,11750,2,7.628690
G1701510,34,11666,2,7.943058
G4803870,38,11603,2,7.127013
G0800590,36,11598,2,6.503011
G1901130,30,11376,2,7.740300
