cluster_id,gis_join,is_center
31,G1700050,false
31,G2102330,false
31,G2100590,false
31,G2000210,false
31,G2102130,false
31,G2100570,false
31,G2100010,false
31,G2101830,false
31,G2901830,false
31,G1701890,false
31,G2900510,false
31,G2901890,false
31,G1701010,false
31,G2102270,false
31,G1801010,false
31,G1701330,false
31,G1801430,false
31,G1700590,false
31,G2100910,true
31,G2102150,false
31,G1800610,false
31,G1800510,false
31,G1701510,false
31,G4700870,false
31,G2001330,false
31,G2901860,false
31,G1701630,false
31,G1801730,false
31,G2101630,false
31,G1701190,false
31,G2100550,false
31,G2100270,false
31,G2100290,false
31,G1700470,false
31,G2101070,false
31,G1701650,false
31,G2002050,false
31,G1700270,false
31,G1801630,false
31,G1701910,false
31,G1701570,false
31,G2900310,false
31,G2900990,false
31,G4701470,false
31,G1700770,false
31,G2000370,false
31,G2102190,false
31,G1800370,false
31,G2101790,false
31,G2100310,false
31,G1701850,false
31,G2101410,false
31,G2100610,false
31,G2905100,false
31,G2101230,false
31,G4701110,false
31,G2100930,false
31,G1700690,false
31,G1701210,false
31,G1800250,false
31,G1801290,false
31,G1801230,false
31,G2901510,false
31,G1800270,false
31,G1701450,false
31,G1700250,false
31,G2900710,false
31,G2901570,false
31,G1701990,false
31,G2100850,false
31,G1800830,false
31,G2100090,false
31,G4700270,false
31,G2100870,false
31,G1700650,false
31,G1800430,false
31,G1701930,false
31,G2102250,false
31,G1801250,false
31,G2101110,false
31,G2101710,false
31,G1701590,false
31,G1700870,false
31,G2101490,false
31,G1700550,false
31,G2101770,false
31,G1700810,false
31,G2101690,false
31,G1801470,false
31,G1800190,false
31,G2100030,false
31,G2101010,false
31,G2100990,false
53,G3701530,false
53,G0501330,true
53,G0500030,false
53,G4500570,false
53,G3700630,false
53,G0500610,false
53,G4500310,false
53,G4500330,false
53,G3701070,false
53,G4500870,false
53,G0500990,false
53,G2801550,false
53,G4500690,false
53,G2801030,false
53,G2800870,false
53,G3701650,false
53,G3701050,false
53,G0500430,false
53,G0500730,false
53,G4000130,false
53,G3700930,false
53,G2801590,false
53,G0500570,false
53,G2800190,false
53,G3701550,false
53,G2800250,false
53,G0100730,false
53,G3700370,false
53,G3700130,false
53,G3701910,false
53,G0501090,false
53,G3701330,false
53,G4500550,false
53,G0100370,false
53,G3701010,false
53,G3701030,false
53,G0500690,false
