gis_join,cluster_id,time_ms,iterations,rmse,num_records
G3100710,4,7866,2,7.000196,3240
G4600950,19,7806,2,7.410983,10440
G3901510,38,7790,2,6.561555,4680
G3000190,27,8500,2,8.219881,11160
G2601010,46,7737,2,4.788616,3960
G2600150,39,7869,2,5.837542,3240
G2600610,49,7863,2,6.357750,7920
G3000850,14,7884,2,8.493591,19080
G3800330,10,8466,2,8.034847,7920
G3800010,1,7696,2,6.823213,5760
G3800110,25,8610,3,7.381444,9000
G3000410,3,7734,2,7.739148,21960
G2600050,53,7744,2,5.248285,7200
G2601650,47,7759,3,5.266200,4680
G0201000,44,8203,3,2.626102,1080
G4600630,5,8428,3,7.266444,19440
G2600550,52,8571,2,5.186193,3240
G3101490,32,8696,2,7.253403,7200
G3901030,41,9344,2,6.536706,2880
G3600670,45,9103,2,5.838212,5760
G3101030,8,8690,2,7.657788,4680
G3900910,48,9492,2,6.226060,2880
G3600110,34,8757,2,5.927521,5040
G3000210,28,9124,2,8.214446,17280
G4601050,16,9077,2,7.317541,20880
G3001050,20,10159,2,8.159993,38160
G4600310,31,9270,2,7.836122,17280
G3800370,33,9572,2,7.064509,12240
G3800410,9,8996,2,6.458906,8640
G2600770,42,9315,2,5.748083,5040
G4600710,30,9090,2,7.077637,11880
G3900770,36,9291,2,6.279811,2520
G2600210,40,9170,2,4.807393,2880
G4601210,24,9210,2,6.828370,7920
G2601590,55,9311,2,5.196629,3960
G3800890,21,9122,2,6.744378,9720
G3600630,50,10012,2,5.214508,3600
G2601050,51,9192,2,4.786082,2880
G3600510,54,9833,2,5.641291,3240
G3000790,22,9925,2,8.145113,12960
G3600750,43,9174,2,5.479354,7560
G3800870,15,9435,2,6.888143,9000
G5000110,37,9477,2,6.083318,4680
G3800070,18,9479,2,7.838588,7920
G3000050,6,9267,2,8.086177,32760
G3000710,13,9115,2,8.523826,38520
G3800530,7,9783,2,8.176265,21600
G3000550,17,9386,2,8.040583,20160
G3600890,35,9405,2,6.307284,19440
G3000830,11,10342,3,8.401822,16200
G3001090,29,9668,2,8.063285,6480
G4600550,23,10094,3,7.519829,13680
G4600410,2,10414,3,8.301336,18360
G4601370,0,10375,2,7.645196,12960
G3000250,26,10594,3,7.606142,11160
G3900350,4,4655,2,5.761142,3240
G2101230,39,4643,2,7.469663,1080
G3900930,27,4683,2,5.842082,3600
G3900850,14,4604,2,5.929404,1080
G3901390,25,4546,2,6.581887,3600
G3600730,19,4768,2,4.966758,3240
G1800250,49,4662,2,7.496861,1800
G3901690,10,4640,2,6.746810,4320
G3900210,38,4665,2,6.799662,2880
G1700550,46,4801,2,7.411954,2520
G1700270,47,4587,2,7.189231,2520
G3600690,1,4729,2,5.293164,4320
G2901830,53,4743,2,7.554062,3600
G2101770,44,4791,2,7.447233,3240
G2600190,3,4869,2,4.194903,2520
G3600190,5,5491,3,6.257421,8640
G3900050,32,6574,2,6.574943,2520
G1701510,42,6289,2,7.896979,2520
G1700870,52,6689,2,7.755653,3240
G3900430,34,6397,2,5.851872,1800
G3600370,20,6373,2,5.745949,3240
G2101490,45,6574,2,7.749336,1800
G1801410,28,6382,2,5.628537,3600
G1701630,41,6717,2,7.719662,4680
G1701810,48,6551,2,7.715707,2520
G3601170,8,6609,2,5.264929,5040
G2601270,31,6624,2,4.525960,4320
G2901860,40,6448,2,8.266617,3240
G2600270,9,6571,2,5.323059,3960
G2600090,36,6620,2,4.832887,4320
G2600890,33,6636,2,3.942282,2880
G2100550,54,6321,2,7.813474,2520
G3901550,30,6485,2,7.331119,4320
G1701890,50,6347,2,7.547210,4320
G3901330,6,6457,2,6.746900,3600
G3901530,13,6400,2,6.754641,2520
G1801630,43,6477,2,7.084626,1440
G3600990,22,6489,2,5.765979,2880
G3900550,24,6591,2,6.528975,3240
G2100270,55,6615,2,8.217415,4320
G2600030,17,6579,2,5.595235,6840
G2600830,11,6263,2,4.177253,4320
G3600650,21,6559,2,6.348244,9360
G3600290,18,6649,2,5.116932,7200
G3600450,16,7209,2,6.047783,9000
G4200490,29,6441,2,6.290414,5760
G3900330,37,6654,2,6.184457,2520
G3600550,35,6685,2,5.185853,4320
G2600790,15,6713,3,5.165494,3240
G2601230,7,6679,2,5.321785,6120
G2900510,51,6680,2,8.078225,2160
G2600950,23,6563,2,5.288351,6840
G2600850,2,6345,2,5.354082,4320
G3900070,0,6182,2,6.663522,4680
G3901170,26,6319,2,6.718483,3240
G2102270,49,4567,2,7.793755,3600
G2901510,27,4603,2,8.233675,4680
G2101010,39,4655,2,7.354337,3240
G1701270,46,4444,2,7.492264,1440
G2100470,4,4770,2,7.599958,4320
G4700270,25,4624,2,7.255799,1440
G2100090,14,4684,2,7.591016,3600
G2901230,44,4283,2,8.178781,3600
G1800610,53,4369,2,7.670202,2880
G1700470,10,4644,2,7.199301,2160
