gis_join,end_timestamp,is_centroid,time_ms,iterations,rmse,num_records
G1800570,1621448696753,true,111322,7,6.120175,2160
G3901750,1621448698584,false,1460,7,5.535738,2520
G1800470,1621448700303,false,1337,6,6.013895,2160
G3900310,1621448702294,false,1625,7,6.623697,4320
G2600750,1621448704112,false,1451,7,5.120217,4320
G3900970,1621448705789,false,1315,7,5.979632,2880
G3900710,1621448708918,false,1256,6,6.509866,3960
G1801350,1621448710746,false,1467,7,5.879414,3240
G1800010,1621448712430,false,1343,7,5.459249,2520
G1800230,1621448714130,false,1333,7,5.847128,2160
G3901090,1621448715820,false,1355,6,5.830093,3240
G1800210,1621448717560,false,1412,7,6.315440,2520
G3900750,1621448719161,false,1269,7,6.040901,2880
G3901650,1621448720780,false,1308,6,6.266304,2880
G1801370,1621448722481,false,1373,7,6.252998,2880
G3901010,1621448724058,false,1238,6,5.366503,2520
G1800690,1621448725701,false,1295,6,5.525999,2160
G3901570,1621448727292,false,1262,6,6.431871,3600
G1801830,1621448728935,false,1338,7,5.530050,2160
G2600370,1621448730654,false,1410,6,5.060184,5760
G3901470,1621448732513,false,1537,7,5.436981,4320
G3900510,1621448734061,false,1248,6,5.280477,3240
G2600810,1621448737458,false,3080,6,4.710956,5760
G3900490,1621448739063,false,1295,7,5.625253,3240
G1800810,1621448740699,false,1305,7,5.988192,2160
G1801110,1621448742441,false,1423,7,5.668202,1800
G3901710,1621448744024,false,1253,7,5.584321,2160
G2601570,1621448745832,false,1493,7,4.652431,6120
G1801130,1621448747563,false,1404,7,5.513726,2160
G3900410,1621448749236,false,1329,7,5.749684,2880
G1800530,1621448750948,false,1383,7,5.794544,3240
G3900450,1621448752633,false,1342,6,6.108080,4320
G3900590,1621448754201,false,1242,6,6.558590,3240
G1700290,1621448755748,false,1257,5,6.109618,3960
G1800450,1621448757346,false,1298,6,6.221934,2520
G3900390,1621448759222,false,1207,6,5.539461,2880
G2600250,1621448760976,false,1336,7,5.112822,5040
G1701390,1621448762736,false,1428,6,5.854855,1800
G1801810,1621448764408,false,1330,6,5.548225,3240
G1700750,1621448766198,false,1439,7,5.784186,8640
G3900470,1621448767944,false,1425,7,6.103081,2880
G3900630,1621448769543,false,1297,7,5.496129,3960
G2600590,1621448771207,false,1323,7,5.115326,5040
G1801650,1621448772872,false,1278,7,6.420766,1800
G3900570,1621448774383,false,1171,6,5.870248,3240
G1700530,1621448776073,false,1366,8,5.873380,3240
G1801330,1621448777689,false,1278,6,6.191519,3240
G1801610,1621448779328,false,1326,6,6.365093,1440
G1800890,1621448780944,false,1275,7,5.392675,3960
G3901430,1621448782474,false,1172,6,5.279927,2880
G1801670,1621448784194,false,1370,6,6.252978,2520
G3901590,1621448785741,false,1168,6,5.620521,2880
G1700230,1621448787418,false,1149,6,5.936672,3240
G2600670,1621448789023,false,1227,5,5.143168,3600
G1801790,1621448790611,false,1228,7,5.761715,2160
G2601390,1621448792346,false,1436,7,4.296075,3960
G1800730,1621448793930,false,1283,7,5.347528,4320
G1800110,1621448795571,false,1317,6,5.924660,3240
G1800490,1621448797068,false,1153,6,5.427574,1800
G3900370,1621448798658,false,1266,7,5.907959,2880
G1800030,1621448800578,false,1590,7,5.486778,5400
G3900170,1621448802078,false,1200,6,6.073164,2520
G2600230,1621448803795,false,1372,8,5.087995,3240
G1801090,1621448805346,false,1170,6,5.963352,3240
G1801690,1621448806938,false,1220,6,5.524380,2160
G3901370,1621448808460,false,1195,6,5.624641,3600
G1800950,1621448810066,false,1279,7,5.721986,2880
G1700350,1621448811620,false,1245,6,6.417402,1440
G1801570,1621448813314,false,1369,7,5.770774,3240
G1700450,1621448814902,false,1273,7,6.159315,3240
G3901350,1621448816618,false,1360,7,5.950826,2160
G1800850,1621448818231,false,1317,7,5.449245,4320
G2601510,1621448819964,false,1382,7,4.498954,6840
