gis_join,total_iterations,is_center
G0500330,1,true
G5600050,1,true
G4600870,1,true
G5400770,1,true
G4100070,1,true
G3100310,1,true
G2001650,1,true
G2102350,1,true
G2901570,1,true
G3500590,1,true
G3601050,1,true
G4803410,1,true
G3000710,1,true
G4100230,1,true
G3600710,1,true
G2902050,1,true
G0600010,1,true
G4800490,1,true
G4800790,1,true
G0800190,1,true
G4900010,1,true
G3700210,1,true
G3900350,1,true
G2000010,1,true
G3701310,1,true
G1800570,1,true
G1900530,1,true
G5100210,1,true
G0500090,1,true
G3500230,1,true
G2102090,1,true
G4100650,1,true
G3600770,1,true
G0800550,1,true
G1200230,1,true
G1600130,1,true
G3100370,1,true
G0601070,1,true
G3800450,1,true
G2001090,1,true
G1000030,1,true
G4801730,1,true
G5500470,1,true
G2701450,1,true
G4802010,1,true
G0100010,1,true
G4804490,1,true
G4200590,1,true
G4700170,1,true
G1300890,1,true
G2600730,1,true
G1300950,1,true
G3100010,1,true
G0800450,1,true
G4000090,1,true
G1200090,1,true
G0600390,1,false
G4600810,1,false
G4802970,1,false
G2601530,1,false
G3500130,1,false
G3101070,1,false
G1600810,1,false
G4000190,1,false
G0800030,1,false
G3701170,1,false
G3800690,1,false
G3000110,1,false
G0600170,1,false
G2300210,1,false
G5500670,1,false
G3200330,1,false
G2601030,1,false
G4200510,1,false
G4100550,1,false
G4804750,1,false
G3101570,1,false
G4200210,1,false
G3100450,1,false
G3600130,1,false
G4600330,1,false
G3600330,1,false
G5300470,1,false
G2200110,1,false
G4001430,1,false
G2101230,1,false
G3000450,1,false
G4201230,1,false
G3100750,1,false
G1600350,1,false
G4001390,1,false
G4801650,1,false
G3600950,1,false
G0600190,1,false
G4200530,1,false
G3100330,1,false
G0800270,1,false
G5300630,1,false
G3600230,1,false
G2800030,1,false
G3101650,1,false
G0800350,1,false
G5300410,1,false
G2101570,1,false
G3600430,1,false
G3000130,1,false
G2600070,1,false
G0800590,1,false
G4100430,1,false
G1600850,1,false
G4600570,1,false
G5000030,1,false
G5106800,1,false
G5600110,1,false
G3500060,1,false
G5300130,1,false
G2601310,1,false
G1100010,1,false
G5600270,1,false
G4200270,1,false
G3500430,1,false
G4100190,1,false
G3601230,1,false
G0100830,1,false
G4900170,1,false
G3101110,1,false
G3800790,1,false
G5101170,1,false
G1200270,1,false
G3701970,1,false
G4900450,1,false
G3500050,1,false
G4100490,1,false
G0400190,1,false
G0800690,1,false
G3601210,1,false
G4700770,1,false
G3500070,1,false
G0600890,1,false
G3000030,1,false
G3300070,1,false
G0400170,1,false
G0500050,1,false
G0600330,1,false
G5400250,1,false
G0600510,1,false
G2201270,1,false
G3400370,1,false
G3100070,1,false
G3600410,1,false
G4100290,1,false
G4700810,1,false
G3500030,1,false
G5600150,1,false
G3600030,1,false
G4803810,1,false
G5300230,1,false
G4803050,1,false
G4700530,1,false
G0800830,1,false
G0600430,1,false
G5600450,1,false
G5400010,1,false
G2901860,1,false
G4100310,1,false
G0600350,1,false
G5600010,1,false
G4700470,1,false
G2600130,1,false
G5600310,1,false
G0600050,1,false
G0800430,1,false
G4200630,1,false
G4001470,1,false
G3000370,1,false
G4100050,1,false
G3500310,1,false
G5000090,1,false
G5000070,1,false
G2101050,1,false
G3100130,1,false
G4100330,1,false
G3000390,1,false
G1900210,1,false
G3500280,1,false
G3600170,1,false
G4700030,1,false
G3001070,1,false
G1600270,1,false
G3500490,1,false
G0800090,1,false
G4802350,1,false
G2601430,1,false
G0400250,1,false
G4200470,1,false
G0500890,1,false
G0600090,1,false
G3101610,1,false
G0800670,1,false
G4800110,1,false
G4800030,1,false
G4805010,1,false
G5107400,1,false
G4200390,1,false
G2701070,1,false
G4800650,1,false
G4701670,1,false
G4900110,1,false
G0600610,1,false
G0800130,1,false
G4804130,1,false
G4803570,1,false
G4803030,1,false
G3300090,1,false
G3500330,1,false
