timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
1620721503,2.0,3.1,64083.2,20197.4,39845.8,6.6,11.2,0.0,0.0,667.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0
1620721504,0.7,0.4,64083.2,20197.4,39845.8,4.9,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721505,1.6,1.4,64083.2,20197.4,39845.8,5.1,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721506,1.6,1.6,64083.2,20208.2,39845.9,5.2,10.4,0.0,0.0,0.0,0.0,0.0,0.0,51.9,0.0,0.0,0.0
1620721507,1.1,1.0,64083.2,20197.4,39845.9,5.6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9,0.0,0.0,0.0
1620721508,1.0,1.0,64083.2,20197.4,39845.9,19.3,46.2,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,27.6,0.0
1620721509,0.4,0.4,64083.2,20197.4,39846.1,3.9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721510,0.9,0.7,64083.2,20197.4,39846.1,81.3,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721511,0.3,0.3,64083.2,20197.4,39846.1,9.1,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721512,0.7,0.9,64083.2,20197.4,39846.1,16.5,22.4,0.0,0.0,0.0,0.0,0.0,0.0,666.8,0.0,0.0,0.0
1620721513,0.7,0.2,64083.2,20197.4,39846.1,6.4,17.1,0.0,0.0,0.0,0.0,0.0,0.0,75.3,0.0,11.9,0.0
1620721514,0.9,0.5,64083.2,20222.7,39846.1,15.8,73.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721515,3.1,2.9,64083.2,20197.7,39846.0,12.1,39.5,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
1620721516,1.7,1.5,64083.2,20197.5,39846.0,4.3,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721517,0.9,0.6,64083.2,20197.6,39846.0,7.2,11.2,0.0,0.0,0.0,0.0,0.0,0.0,219.7,0.0,0.0,0.0
1620721518,0.6,0.6,64083.2,20197.6,39846.1,5.8,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0
1620721519,0.3,0.4,64083.2,20197.6,39846.1,5.8,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721520,0.6,0.4,64083.2,20197.6,39846.1,82.3,30.8,0.0,0.0,0.0,0.0,0.0,0.0,67.9,0.0,0.0,0.0
1620721521,0.3,0.7,64083.2,20197.6,39846.1,5.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721522,0.6,0.5,64083.2,20197.4,39846.1,9.9,18.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
1620721523,1.0,0.5,64083.2,20197.6,39846.1,6.4,17.7,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,11.9,0.0
1620721524,0.4,0.4,64083.2,20205.1,39846.1,3.5,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721525,1.7,1.2,64083.2,20197.6,39846.2,5.6,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721526,1.8,1.7,64083.2,20197.6,39846.2,4.5,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721527,0.9,0.7,64083.2,20197.6,39846.2,7.6,11.4,0.0,0.0,0.0,0.0,0.0,0.0,191.6,0.0,0.0,0.0
1620721528,0.6,0.4,64083.2,20197.6,39846.2,6.1,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0
1620721529,0.8,0.6,64083.2,20197.6,39846.2,3.9,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721530,1.1,0.7,64083.2,20222.8,39846.2,88.6,58.3,0.0,0.0,0.0,0.0,0.0,0.0,287.5,0.0,0.0,0.0
1620721531,1.8,2.0,64083.2,20197.6,39846.3,18.1,75.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721532,0.7,0.5,64083.2,20197.6,39846.3,11.4,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721533,0.3,0.3,64083.2,20197.6,39846.3,4.9,16.5,0.0,0.0,0.0,0.0,0.0,0.0,325.1,0.0,126.9,0.0
1620721534,0.6,0.6,64083.2,20214.5,39846.3,4.3,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721535,1.2,1.2,64083.2,20197.6,39846.3,5.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721536,1.8,1.3,64083.2,20197.6,39846.3,4.1,17.9,0.0,0.0,0.0,0.0,0.0,0.0,63.9,0.0,0.0,0.0
1620721537,0.9,0.7,64083.2,20197.7,39846.3,8.4,12.5,0.0,0.0,0.0,0.0,0.0,0.0,43.9,0.0,0.0,0.0
1620721538,1.0,0.7,64083.2,20197.6,39846.5,18.6,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5,0.0
1620721539,0.3,0.3,64083.2,20197.6,39846.5,5.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721540,0.6,0.6,64083.2,20197.6,39846.5,83.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721541,0.8,0.4,64083.2,20197.6,39846.5,3.7,8.3,0.0,0.0,0.0,0.0,0.0,0.0,47.9,0.0,0.0,0.0
1620721542,0.5,0.4,64083.2,20197.9,39846.5,12.6,19.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1620721543,0.3,0.3,64083.2,20197.6,39846.5,3.7,9.1,0.0,0.0,0.0,0.0,0.0,0.0,47.6,0.0,11.9,0.0
1620721544,0.8,0.6,64083.2,20206.0,39846.5,2.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721545,1.2,0.8,64083.2,20197.6,39846.6,5.1,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721546,1.6,1.4,64083.2,20197.8,39846.6,4.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,43.9,0.0,0.0,0.0
1620721547,1.4,0.6,64083.2,20197.6,39846.6,7.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9,0.0,0.0,0.0
1620721548,0.5,0.6,64083.2,20197.6,39846.7,7.5,16.9,0.0,0.0,0.0,0.0,0.0,0.0,555.2,0.0,11.9,0.0
1620721549,0.3,0.7,64083.2,20197.6,39846.7,4.5,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721550,0.7,0.4,64083.2,20197.6,39846.7,83.9,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721551,0.6,0.2,64083.2,20197.6,39846.7,4.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,55.9,0.0,0.0,0.0
1620721552,0.6,0.4,64083.2,20197.6,39846.7,12.6,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1620721553,0.4,0.3,64083.2,20197.6,39846.7,3.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,31.7,0.0,11.9,0.0
1620721554,1.2,0.7,64083.2,20208.3,39846.7,3.7,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721555,0.8,0.8,64083.2,20197.7,39846.7,5.3,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721556,1.8,1.4,64083.2,20197.5,39846.7,6.6,15.2,0.0,0.0,0.0,0.0,0.0,0.0,63.9,0.0,0.0,0.0
1620721557,0.7,0.8,64083.2,20198.0,39846.7,4.8,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721558,0.6,0.3,64083.2,20197.7,39846.8,7.4,14.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.9,0.0
1620721559,0.7,0.4,64083.2,20197.7,39846.8,3.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721560,0.5,0.5,64083.2,20197.7,39846.8,83.9,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721561,0.5,0.5,64083.2,20197.7,39846.8,3.5,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721562,0.5,0.6,64083.2,20197.5,39846.8,12.2,19.6,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
1620721564,0.5,0.3,64083.2,20197.7,39846.8,3.2,8.3,0.0,0.0,0.0,0.0,0.0,0.0,180.9,0.0,11.8,0.0
1620721565,1.6,0.9,64083.2,20208.9,39846.8,4.8,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0
1620721566,0.5,0.7,64083.2,20197.7,39846.8,4.1,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721567,2.3,1.5,64083.2,20199.0,39846.8,5.9,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721568,1.6,0.7,64083.2,20211.3,39846.8,8.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,59.9,0.0,0.0,0.0
1620721569,1.0,1.2,64083.2,20211.7,39847.0,21.4,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.0
1620721570,0.3,0.4,64083.2,20211.3,39847.0,5.1,7.6,0.0,0.0,0.0,0.0,0.0,0.0,111.8,0.0,0.0,0.0
1620721571,0.4,0.3,64083.2,20211.3,39847.0,83.9,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721572,0.3,0.3,64083.2,20197.7,39847.0,4.4,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721573,0.7,0.7,64083.2,20197.7,39847.0,13.2,26.9,0.0,0.0,0.0,0.0,0.0,0.0,79.9,0.0,0.0,0.0
1620721574,0.3,0.2,64083.2,20197.7,39847.0,3.9,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0
1620721575,1.6,1.4,64083.2,20197.9,39847.1,3.1,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721576,0.3,0.5,64083.2,20197.7,39847.1,5.6,16.4,0.0,0.0,0.0,0.0,0.0,0.0,35.9,0.0,0.0,0.0
1620721577,2.3,1.4,64083.2,20197.8,39847.1,3.7,11.2,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
1620721578,0.6,0.6,64083.2,20198.0,39847.1,6.3,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721579,0.6,0.5,64083.2,20197.7,39847.2,6.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,55.5,0.0,11.9,0.0
1620721580,0.3,0.2,64083.2,20197.7,39847.2,7.4,9.8,0.0,0.0,0.0,0.0,0.0,0.0,83.8,0.0,0.0,0.0
1620721581,0.6,0.7,64083.2,20197.7,39847.2,85.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721582,0.4,0.5,64083.2,20197.7,39847.2,4.2,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721583,0.7,0.7,64083.2,20198.3,39847.2,11.8,24.7,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
1620721584,0.5,0.3,64083.2,20197.7,39847.2,4.3,10.2,0.0,0.0,0.0,0.0,0.0,0.0,71.4,0.0,11.9,0.0
1620721585,1.4,1.2,64083.2,20197.6,39847.2,3.1,10.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1620721586,0.7,0.5,64083.2,20197.7,39847.2,6.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721587,2.4,1.5,64083.2,20198.0,39847.2,4.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
1620721588,0.8,0.7,64083.2,20197.9,39847.2,5.7,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721589,0.7,0.4,64083.2,20211.0,39847.3,9.2,15.5,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,11.9,0.0
1620721590,0.4,0.4,64083.2,20211.2,39847.3,5.5,9.1,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0
1620721591,0.6,0.4,64083.2,20198.0,39847.3,101.7,25.6,0.0,0.0,0.0,0.0,0.0,0.0,355.4,0.0,0.0,0.0
1620721592,0.7,0.7,64083.2,20197.7,39847.3,15.7,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721593,0.7,0.5,64083.2,20198.0,39847.3,10.4,15.4,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
1620721594,0.4,0.3,64083.2,20197.7,39847.3,3.7,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0
1620721595,1.5,1.2,64083.2,20197.8,39847.3,4.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721596,0.7,0.3,64083.2,20197.7,39847.3,4.9,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0
1620721597,1.9,1.3,64083.2,20198.0,39847.3,3.8,11.6,0.0,0.0,0.0,0.0,0.0,0.0,91.8,0.0,0.0,0.0
1620721598,1.0,0.9,64083.2,20197.7,39847.4,9.2,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721599,0.6,0.6,64083.2,20197.8,39847.5,15.6,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.0
1620721600,4.6,1.4,64083.2,20223.7,39847.5,73.1,72.3,0.0,0.0,0.0,0.0,0.0,0.0,159.7,0.0,0.0,0.0
1620721601,19.7,1.5,64083.2,20304.6,39847.5,124.3,61.4,0.0,0.0,0.0,0.0,0.0,0.0,51.9,0.0,8.0,0.0
1620721602,29.3,1.9,64083.2,20354.0,39847.5,6.4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,115.8,0.0,0.0,0.0
1620721603,21.2,1.8,64083.2,20437.0,39847.6,23.5,32.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1620721604,27.4,1.8,64083.2,20478.6,39852.9,34.9,2949.9,0.0,0.0,0.0,0.0,0.0,0.0,2792.2,0.0,11.9,0.0
1620721605,37.0,2.5,64083.2,20539.9,39852.4,26.3,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721606,0.8,0.7,64083.2,20540.3,39852.1,4.8,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721607,2.3,1.4,64083.2,20540.3,39852.1,3.6,11.3,0.0,0.0,0.0,0.0,0.0,0.0,211.6,0.0,0.0,0.0
1620721608,1.2,0.7,64083.2,20540.7,39852.1,6.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721609,0.2,0.3,64083.2,20540.3,39852.2,6.3,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0
1620721610,0.4,0.3,64083.2,20540.3,39852.2,4.6,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721611,0.4,0.6,64083.2,20540.3,39852.2,83.6,24.4,0.0,0.0,0.0,0.0,0.0,0.0,55.9,0.0,0.0,0.0
1620721612,0.5,0.5,64083.2,20540.3,39852.2,6.8,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721613,0.7,0.7,64083.2,20540.5,39852.2,10.4,14.9,0.0,0.0,0.0,0.0,0.0,0.0,55.9,0.0,0.0,0.0
1620721614,0.5,0.3,64083.2,20540.3,39852.2,3.9,9.9,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,11.9,0.0
1620721615,1.9,1.2,64083.2,20540.3,39852.2,4.3,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721616,0.8,0.4,64083.2,20540.3,39852.2,6.1,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721617,2.0,1.5,64083.2,20540.4,39852.2,5.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
1620721618,1.2,0.9,64083.2,20540.4,39852.3,5.9,8.6,0.0,0.0,0.0,0.0,0.0,0.0,63.9,0.0,0.0,0.0
1620721619,0.3,0.5,64083.2,20540.4,39852.3,4.5,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0
1620721620,0.3,0.3,64083.2,20540.4,39852.3,5.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721621,0.6,0.5,64083.2,20540.4,39852.3,82.5,23.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
1620721622,0.6,0.8,64083.2,20540.4,39852.3,7.7,21.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
1620721623,0.7,0.8,64083.2,20540.4,39852.3,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9,0.0,0.0,0.0
1620721624,2.0,0.4,64083.2,20545.0,39852.3,8.5,9.4,0.0,0.0,0.0,0.0,0.0,0.0,31.4,0.0,11.8,0.0
1620721625,1.7,1.2,64083.2,20545.2,39852.4,4.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721626,0.7,0.3,64083.2,20545.2,39852.4,4.9,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721627,2.8,1.6,64083.2,20545.1,39852.4,3.5,18.4,0.0,0.0,0.0,0.0,0.0,0.0,31.9,0.0,43.9,0.0
1620721628,1.2,1.0,64083.2,20545.2,39852.4,22.5,49.5,0.0,0.0,0.0,0.0,0.0,0.0,63.9,0.0,0.0,0.0
1620721629,0.2,0.2,64083.2,20545.2,39852.4,4.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.0
1620721630,0.4,0.2,64083.2,20545.3,39852.5,6.1,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721631,0.5,0.7,64083.2,20545.3,39852.5,82.3,24.2,0.0,0.0,0.0,0.0,0.0,0.0,594.9,0.0,0.0,0.0
1620721632,0.4,0.6,64083.2,20545.3,39852.5,6.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,287.5,0.0,0.0,0.0
1620721633,0.6,0.7,64083.2,20545.6,39852.6,12.7,18.1,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
1620721634,0.8,0.2,64083.2,20545.2,39852.6,7.7,8.8,0.0,0.0,0.0,0.0,0.0,0.0,102.2,0.0,11.8,0.0
1620721635,1.6,1.2,64083.2,20545.3,39852.6,4.2,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721636,0.8,0.3,64083.2,20545.3,39852.6,5.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721637,1.9,1.7,64083.2,20545.3,39852.6,3.7,12.6,0.0,0.0,0.0,0.0,0.0,0.0,2887.2,0.0,0.0,0.0
1620721638,1.1,0.9,64083.2,20545.3,39852.7,6.1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721639,0.3,0.3,64083.2,20545.3,39852.7,5.9,13.8,0.0,0.0,0.0,0.0,0.0,0.0,75.3,0.0,11.9,0.0
1620721640,0.4,0.3,64083.2,20545.3,39852.7,4.6,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721641,0.3,0.3,64083.2,20545.3,39852.7,65.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721642,0.5,0.5,64083.2,20545.4,39852.7,26.4,17.1,0.0,0.0,0.0,0.0,0.0,0.0,75.9,0.0,0.0,0.0
1620721643,0.8,0.4,64083.2,20545.4,39852.7,11.7,19.7,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
1620721644,0.5,0.6,64083.2,20545.4,39852.7,5.6,9.2,0.0,0.0,0.0,0.0,0.0,0.0,71.4,0.0,11.9,0.0
1620721645,2.3,1.2,64083.2,20545.5,39852.7,4.2,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721646,0.8,0.5,64083.2,20545.5,39852.7,5.7,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721647,1.8,1.6,64083.2,20545.5,39852.8,3.9,12.5,0.0,0.0,0.0,0.0,0.0,0.0,27.9,0.0,0.0,0.0
1620721648,1.1,0.8,64083.2,20545.7,39852.8,5.7,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721649,0.3,0.4,64083.2,20545.5,39852.8,6.1,14.2,0.0,0.0,0.0,0.0,0.0,0.0,47.6,0.0,11.9,0.0
1620721650,0.3,0.4,64083.2,20545.5,39852.8,4.2,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721651,0.4,0.4,64083.2,20545.5,39852.8,47.3,23.9,0.0,0.0,0.0,0.0,0.0,0.0,119.8,0.0,0.0,0.0
1620721652,0.5,0.6,64083.2,20545.5,39852.8,46.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,251.6,0.0,0.0,0.0
1620721653,0.7,0.7,64083.2,20545.5,39852.8,9.7,10.5,0.0,0.0,0.0,0.0,0.0,0.0,35.9,0.0,0.0,0.0
1620721654,0.6,0.4,64083.2,20545.5,39852.8,5.9,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0
1620721655,2.3,1.2,64083.2,20545.6,39852.8,4.4,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721656,0.9,0.5,64083.2,20545.6,39852.8,6.6,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721657,1.8,1.3,64083.2,20545.6,39852.9,3.9,11.7,0.0,0.0,0.0,0.0,0.0,0.0,75.9,0.0,0.0,0.0
1620721658,1.2,1.5,64083.2,20545.6,39852.9,22.1,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0
1620721659,0.3,0.5,64083.2,20545.6,39853.1,4.9,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.0
1620721660,0.3,0.5,64083.2,20545.6,39853.1,5.1,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721661,0.4,0.3,64083.2,20545.6,39853.1,46.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721662,0.4,0.3,64083.2,20545.6,39853.1,46.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,79.9,0.0,0.0,0.0
1620721663,0.6,0.6,64083.2,20547.5,39853.1,9.6,9.8,0.0,0.0,0.0,0.0,0.0,0.0,51.9,0.0,8.0,0.0
1620721664,0.3,0.3,64083.2,20547.5,39853.1,3.4,5.7,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,11.9,0.0
1620721665,1.6,1.2,64083.2,20547.6,39853.1,4.8,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721666,1.2,0.5,64083.2,20547.6,39853.1,6.9,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721667,1.8,1.2,64083.2,20547.5,39853.1,3.7,11.5,0.0,0.0,0.0,0.0,0.0,0.0,107.8,0.0,0.0,0.0
1620721668,0.8,0.7,64083.2,20547.5,39853.2,5.5,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721669,0.2,0.2,64083.2,20547.5,39853.2,6.5,13.3,0.0,0.0,0.0,0.0,0.0,0.0,63.4,0.0,11.9,0.0
1620721670,0.5,0.4,64083.2,20547.6,39853.2,4.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721671,0.4,0.6,64083.2,20547.6,39853.2,49.5,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721672,0.4,0.4,64083.2,20547.6,39853.2,46.2,21.7,0.0,0.0,0.0,0.0,0.0,0.0,491.1,0.0,0.0,0.0
1620721673,0.7,0.5,64083.2,20547.6,39853.2,9.6,9.6,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0
1620721674,0.4,0.4,64083.2,20547.5,39853.2,3.3,5.8,0.0,0.0,0.0,0.0,0.0,0.0,63.4,0.0,11.9,0.0
1620721675,1.7,1.0,64083.2,20547.5,39853.2,6.8,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620721676,0.8,0.4,64083.2,20547.5,39853.2,7.2,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
